event,peak_time_s,pair,reference,target,lag_samples,lag_us,corr,abs_corr,polarity
7,3.2549609375,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai2,22.415974019124544,875.6239851212562,0.5225039792757328,0.5225039792757328,1
8,4.349375,cDAQ9185-254D6AAMod1/ai1 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai1,49.51750820151537,1934.2776641199348,0.5493255648122505,0.5493255648122505,1
8,4.349375,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai2,-0.2701648455935856,-10.55331428098984,0.826141610681141,0.826141610681141,1
8,4.349375,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai2,22.38790255515671,874.5274435600136,0.5445974414824447,0.5445974414824447,1
9,4.968515625,cDAQ9185-254D6AAMod1/ai1 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai1,38.65933125003968,1510.1301269533014,-0.5286457969382626,0.5286457969382626,-1
9,4.968515625,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai2,-35.584132347676665,-1390.0051698298555,-0.8015225000167027,0.8015225000167027,-1
9,4.968515625,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai2,22.48714657838359,878.4041632173102,0.4986659433309271,0.4986659433309271,1
10,5.3837890625,cDAQ9185-254D6AAMod1/ai1 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai1,38.49264434606889,1503.6189197669487,-0.5255833103031994,0.5255833103031994,-1
10,5.3837890625,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai2,-35.621422663908454,-1391.4618228076586,-0.7986240738336328,0.7986240738336328,-1
10,5.3837890625,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai2,22.54426720835981,880.6354378257541,0.4998507917104157,0.4998507917104157,1
11,5.8101171875,cDAQ9185-254D6AAMod1/ai1 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai1,38.663550961121686,1510.2949594174422,-0.5374514062144236,0.5374514062144236,-1
11,5.8101171875,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai0,cDAQ9185-254D6AAMod1/ai2,-35.621276087432,-1391.456097164047,-0.8054913111004837,0.8054913111004837,-1
11,5.8101171875,cDAQ9185-254D6AAMod1/ai2 minus cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai1,cDAQ9185-254D6AAMod1/ai2,22.45734997957342,877.2402335762888,0.5030365762281562,0.5030365762281562,1
