run,condition_label,target_rpm,actual_speed_mean_rpm,rotating_frequency_hz,channel,sensor_id,position,direction,signal_type,unit,band_label,low_hz,high_hz,energy,energy_ratio
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,acceleration,g,5000-12800 Hz,5000.0,12800.0,0.00579063357990636,0.9307699923734174
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,velocity,mm/s,0-10 Hz,0.0,10.0,1.6073274523223483e-05,0.0015381703801721134
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,velocity,mm/s,10-100 Hz,10.0,100.0,0.009983311165433129,0.9553767969634067
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,velocity,mm/s,100-1000 Hz,100.0,1000.0,0.00045022161826521306,0.04308503265642121
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,velocity,mm/s,1000-5000 Hz,1000.0,5000.0,1.1632061925634591e-22,1.1131579373255599e-20
run_20260707_5000rpm_10min,5000 rpm,5000.0,5000.004580272823,83.33340967121372,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,velocity,mm/s,5000-12800 Hz,5000.0,12800.0,7.253043854914863e-33,6.940973482161365e-31
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,acceleration,g,0-10 Hz,0.0,10.0,3.202621427203787e-07,1.7469342643087655e-05
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,acceleration,g,10-100 Hz,10.0,100.0,3.542047697314906e-06,0.00019320811494282302
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,acceleration,g,100-1000 Hz,100.0,1000.0,0.00028651914088905693,0.015628762748784133
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,acceleration,g,1000-5000 Hz,1000.0,5000.0,0.006109258353280139,0.3332417830032996
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,acceleration,g,5000-12800 Hz,5000.0,12800.0,0.01193317350196927,0.650918947068078
