condition_order,condition_label,run,actual_speed_mean_rpm,front_rms_vector_mm_s,front_1x_vector_mm_s,front_2x_vector_mm_s,front_3x_vector_mm_s,front_2x_over_1x,front_3x_over_1x,acc2_over_acc1_1x,acc3_over_front_1x,acc1_1x_mm_s,acc2_1x_mm_s,acc3_1x_mm_s,acc1_rms_mm_s,acc2_rms_mm_s,acc3_rms_mm_s,acc1_dominant_hz,acc2_dominant_hz,acc3_dominant_hz,acc1_acc_rms_rel,acc2_acc_rms_rel,acc3_acc_rms_rel,front_rms_vector_mm_s_rel,front_1x_vector_mm_s_rel,acc1_1x_mm_s_rel,acc2_1x_mm_s_rel,acc3_1x_mm_s_rel,acc3_rms_mm_s_rel
0,标准/默认22℃冷却,run_20260707_6000rpm_9min,6000.002,0.05477249516057878,0.056466461962139815,0.0054707823530041905,0.010840684083499402,0.09688551686968265,0.19198447550632744,0.41335861624170306,1.569567610124419,0.0521839681826317,0.0215706928779737,0.0886279297540972,0.0500724478863927,0.0221985627638393,0.0657894882951432,100.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,冷却20℃,run_20260707_6000rpm_10min_20℃,5999.991258465011,0.04612903360152252,0.05006717694709264,0.003497102102128054,0.008250023183169353,0.06984819826816954,0.1647790765572299,0.360286196775977,1.681768475367787,0.0471032787346103,0.0169706611509715,0.0842013998402812,0.0416221241078119,0.0198868430316201,0.0614885904482804,100.0,100.0,100.0,0.9516580582194348,1.1321696454350023,0.9283290486758484,0.8421933940800785,0.8866710469776231,0.9026388826882584,0.7867462230803263,0.9500549101609659,0.9346263672462657
2,冷却24℃,run_20260707_6000rpm_10min_24℃,5999.999616766467,0.07601909046059398,0.09241552072803522,0.005029456790030094,0.01634949308204186,0.05442220906627815,0.1769128491972244,0.35620807042534747,1.6148211017500986,0.087057315702592,0.0310105184428306,0.1492345330008549,0.0712431399936069,0.0265201266646164,0.106779437238161,100.0,100.0,100.0,0.982878974727068,0.7137618447910209,0.9164310041178176,1.387906288324563,1.6366444348859484,1.6682770347764992,1.437622732763309,1.6838318734840572,1.6230470855637256
3,振动传感器重新放置,run_20260707_6000rpm_10min_reset,5999.998520286396,0.06630373514880264,0.08220375410182798,0.004414452070181921,0.011251491927601791,0.05370134391567594,0.13687321279347253,0.3158097584171167,1.5131407095354106,0.0783876183121641,0.0247555748020577,0.1243858468081144,0.0623430483082142,0.0225727628420235,0.0881225111083178,100.0,100.0,100.0,0.9222239083621891,0.8967010317715842,0.9458727705342808,1.2105297550242553,1.4557978531919489,1.5021398533324595,1.1476485684581859,1.4034610438631412,1.339461871370465
4,重新安装刀柄,run_20260707_6000rpm_10min_reset_spindle,5999.995324371713,0.05342058261999306,0.056537559891160334,0.003225655165056492,0.011921810700633093,0.05705331413782547,0.21086532074577685,0.4351712488241153,1.5964909792741382,0.0518415332574573,0.0225599447686046,0.0902617043564088,0.0487239831936936,0.0219027877038556,0.0645204323600477,100.0,100.0,100.0,1.083468063230188,0.9318602123278974,0.929874942802138,0.9753176747449197,1.001259117829415,0.9934379285995278,1.0458609232548597,1.0184340828770864,0.9807103540705122
5,无冷却,run_20260707_6000rpm_10min_wo,6000.009734826163,0.04478604076015645,0.033476527691978585,0.005161554354123811,0.01866976407149595,0.15418428104658496,0.5576971495753268,0.3617530477470402,1.593154123984025,0.0314800180124262,0.0113879924591269,0.0533332681491411,0.0410016844705326,0.0180180830708841,0.040198708451517,774.2666666666667,774.2666666666667,100.0,1.1202328530230534,0.7555757637232356,0.7655743807620186,0.8176739187954716,0.5928568309171602,0.6032507513083997,0.5279381855533914,0.6017659252237644,0.611020232763911
6,不加刀柄,run_20260707_6000rpm_10min_wo_load,5999.97530588908,0.03696817105595856,0.016509610274965485,0.0035489957937028718,0.00473143586547551,0.21496544949243457,0.2865867689590511,0.16440592343191113,1.65181135361894,0.0162909121971042,0.0026783224633131,0.0272707616960119,0.0321297580146743,0.0182845377612092,0.0249790777917085,774.15,774.15,100.0,1.1292671501802938,0.959630618460624,1.0263902003327106,0.6749404230641209,0.2923790459199482,0.3121823189085547,0.12416487863716204,0.30769941001302914,0.37968189811186814
