run,target_rpm,actual_speed_mean_rpm,actual_speed_std_rpm,window_start_s,window_end_s,source_segment_files_used,source_files_first_last,displacement_npz_xz
run_20260707_5000rpm_10min,5000.0,5000.004580272823,0.38953069552833974,584.5159999999996,644.5159999999996,7,000059_segment_acceleration_25600Hz_256000samples_start14848000.npz.xz .. 000065_segment_acceleration_25600Hz_256000samples_start16384000.npz.xz,analysis_out\displacement_response\displacement_segments\run_20260707_5000rpm_10min_displacement_10Hz_1000Hz_last60s.npz.xz
run_20260707_6000rpm_9min,6000.0,6000.002,0.4668959773424278,535.3129999999983,595.3129999999983,7,000054_segment_acceleration_25600Hz_256000samples_start13568000.npz.xz .. 000060_segment_acceleration_25600Hz_256000samples_start15104000.npz.xz,analysis_out\displacement_response\displacement_segments\run_20260707_6000rpm_9min_displacement_10Hz_1000Hz_last60s.npz.xz
run_20260707_7000rpm_10min,7000.0,6999.997072671444,0.6522863716066497,604.844000000001,664.844000000001,7,000061_segment_acceleration_25600Hz_256000samples_start15360000.npz.xz .. 000067_segment_acceleration_25600Hz_256000samples_start16896000.npz.xz,analysis_out\displacement_response\displacement_segments\run_20260707_7000rpm_10min_displacement_10Hz_1000Hz_last60s.npz.xz
run_20260707_8000rpm_10min,8000.0,7999.976179310345,0.6919432406690298,615.719000000001,675.719000000001,7,000062_segment_acceleration_25600Hz_256000samples_start15616000.npz.xz .. 000068_segment_acceleration_25600Hz_256000samples_start17152000.npz.xz,analysis_out\displacement_response\displacement_segments\run_20260707_8000rpm_10min_displacement_10Hz_1000Hz_last60s.npz.xz
