run,target_rpm,actual_speed_mean_rpm,rotating_frequency_hz,window_start_s,window_end_s,duration_s,channel,sensor_id,position,direction,displacement_npz_xz,integration_warnings,disp_rms_mm,disp_rms_um,disp_peak_abs_mm,disp_peak_abs_um,disp_peak_to_peak_mm,disp_peak_to_peak_um,disp_dominant_10_1000_hz,disp_dominant_order,disp_dominant_amp_mm,disp_dominant_amp_um,disp_one_x_amp_mm,disp_one_x_amp_um,disp_two_x_amp_um,disp_three_x_amp_um,disp_one_x_frequency_hz,disp_two_x_frequency_hz,disp_three_x_frequency_hz,disp_band_0_10_ratio,disp_band_10_100_ratio,disp_band_100_1000_ratio,disp_band_1000_5000_ratio,disp_band_5000_12800_ratio
run_20260707_5000rpm_10min,5000.0,5000.004580272823,83.33340967121372,584.5159999999996,644.5159999999996,60.0,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,analysis_out\displacement_response\displacement_segments\run_20260707_5000rpm_10min_displacement_10Hz_1000Hz_last60s.npz.xz,,0.00011733215450138266,0.11733215450138265,0.0003787357909267939,0.3787357909267939,0.0007394888500385931,0.7394888500385931,83.33333333333333,0.9999990839462746,0.0001363864058446161,0.13638640584461612,0.0001363864058446161,0.13638640584461612,0.0033758276270726057,0.0006278548433884462,83.33333333333333,166.66666666666666,250.0,0.05384466612944719,0.933418200015561,0.012737133854991626,1.660332755144023e-27,8.584914034393758e-30
run_20260707_5000rpm_10min,5000.0,5000.004580272823,83.33340967121372,584.5159999999996,644.5159999999996,60.0,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,analysis_out\displacement_response\displacement_segments\run_20260707_5000rpm_10min_displacement_10Hz_1000Hz_last60s.npz.xz,,5.617827094138563e-05,0.05617827094138563,0.00029527599304168817,0.29527599304168817,0.0005726572403604801,0.57265724036048,40.18333333333333,0.48219955827889355,1.5691504941130998e-05,0.015691504941130998,4.991211384991919e-06,0.004991211384991919,0.002488872781560104,0.0020877908174314064,83.33333333333333,166.66666666666666,250.0,0.2625628844632795,0.7283921123013362,0.00904500323538449,2.1838484021365086e-26,1.1133247777869857e-28
run_20260707_5000rpm_10min,5000.0,5000.004580272823,83.33340967121372,584.5159999999996,644.5159999999996,60.0,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,analysis_out\displacement_response\displacement_segments\run_20260707_5000rpm_10min_displacement_10Hz_1000Hz_last60s.npz.xz,,0.00013089137089499837,0.13089137089499836,0.0004657717182731276,0.4657717182731276,0.0008955227281522689,0.8955227281522689,83.33333333333333,0.9999990839462746,0.0001496173102001009,0.1496173102001009,0.0001496173102001009,0.1496173102001009,0.0020824138332118693,0.00023884943020300732,83.33333333333333,166.66666666666666,250.0,0.051754840924090634,0.9420199894606244,0.006225169615285241,3.169268099185027e-27,1.6923687366390612e-29
run_20260707_6000rpm_9min,6000.0,6000.002,100.00003333333333,535.3129999999983,595.3129999999983,60.0,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,analysis_out\displacement_response\displacement_segments\run_20260707_6000rpm_9min_displacement_10Hz_1000Hz_last60s.npz.xz,,9.016274076519142e-05,0.09016274076519143,0.00036037856442500674,0.36037856442500676,0.0007124647590325797,0.7124647590325798,100.0,0.9999996666667778,8.305355208537257e-05,0.08305355208537257,8.305355208537257e-05,0.08305355208537257,0.0037406368179992945,0.005359951776605337,100.0,200.0,300.0,0.10181360778072401,0.5545479189012475,0.3436384733180286,1.1754029469969003e-26,6.241081715953539e-29
run_20260707_6000rpm_9min,6000.0,6000.002,100.00003333333333,535.3129999999983,595.3129999999983,60.0,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,analysis_out\displacement_response\displacement_segments\run_20260707_6000rpm_9min_displacement_10Hz_1000Hz_last60s.npz.xz,,5.952545670605821e-05,0.05952545670605821,0.00032438628142585925,0.32438628142585924,0.0006229921387025271,0.622992138702527,100.0,0.9999996666667778,3.433088505129173e-05,0.034330885051291726,3.433088505129173e-05,0.034330885051291726,0.0022273324227204917,0.0020850298957148985,100.0,200.0,300.0,0.18650587437036692,0.6662206752999675,0.1472734503296656,1.4543430271381015e-26,7.861011071896006e-29
run_20260707_6000rpm_9min,6000.0,6000.002,100.00003333333333,535.3129999999983,595.3129999999983,60.0,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,analysis_out\displacement_response\displacement_segments\run_20260707_6000rpm_9min_displacement_10Hz_1000Hz_last60s.npz.xz,,0.00012696832268490571,0.1269683226849057,0.00046299446538872706,0.46299446538872707,0.0009019387803290908,0.9019387803290908,100.0,0.9999996666667778,0.00014105608525450327,0.14105608525450328,0.00014105608525450327,0.14105608525450328,0.001717614668529886,0.0020850129277043138,100.0,200.0,300.0,0.08585423528318677,0.3939327516259083,0.5202130130909052,1.2551658345112889e-27,7.675811713669727e-30
run_20260707_7000rpm_10min,7000.0,6999.997072671444,116.66661787785739,604.844000000001,664.844000000001,60.0,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,analysis_out\displacement_response\displacement_segments\run_20260707_7000rpm_10min_displacement_10Hz_1000Hz_last60s.npz.xz,,9.66269365564688e-05,0.0966269365564688,0.0009954195494557496,0.9954195494557495,0.0017946589191286059,1.794658919128606,116.66666666666667,1.0000004181899687,6.338580288716093e-05,0.06338580288716093,6.338580288716093e-05,0.06338580288716093,0.0038939436239698415,0.007510239037776031,116.66666666666667,233.33333333333334,350.0,0.08657110272938556,0.5736739151606154,0.33975498210999877,7.496258069684633e-27,4.1203308133315426e-29
run_20260707_7000rpm_10min,7000.0,6999.997072671444,116.66661787785739,604.844000000001,664.844000000001,60.0,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,analysis_out\displacement_response\displacement_segments\run_20260707_7000rpm_10min_displacement_10Hz_1000Hz_last60s.npz.xz,,0.00020349105497306574,0.20349105497306574,0.0011022740729858774,1.1022740729858773,0.0021872649757123004,2.1872649757123006,116.66666666666667,1.0000004181899687,0.0002608822112991388,0.2608822112991388,0.0002608822112991388,0.2608822112991388,0.00134888569398887,0.0028456210733710853,116.66666666666667,233.33333333333334,350.0,0.02249077720722875,0.07284410731110116,0.9046651154816702,1.9722155236588743e-27,1.0623041740161364e-29
run_20260707_7000rpm_10min,7000.0,6999.997072671444,116.66661787785739,604.844000000001,664.844000000001,60.0,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,analysis_out\displacement_response\displacement_segments\run_20260707_7000rpm_10min_displacement_10Hz_1000Hz_last60s.npz.xz,,0.0003679252996448481,0.3679252996448481,0.0014036959331725296,1.4036959331725296,0.002703968364329062,2.7039683643290617,116.66666666666667,1.0000004181899687,0.0004980127201362327,0.4980127201362327,0.0004980127201362327,0.4980127201362327,0.002192064765511441,0.00251434713669388,116.66666666666667,233.33333333333334,350.0,0.011374718383102996,0.03338255241801205,0.955242729198885,6.242929632206465e-28,3.456525546710497e-30
run_20260707_8000rpm_10min,8000.0,7999.976179310345,133.3329363218391,615.719000000001,675.719000000001,60.0,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,analysis_out\displacement_response\displacement_segments\run_20260707_8000rpm_10min_displacement_10Hz_1000Hz_last60s.npz.xz,,7.392002927019874e-05,0.07392002927019874,0.0005752067299324121,0.5752067299324122,0.0009339879051231902,0.9339879051231902,48.81666666666666,0.366126090171996,3.9764108485694306e-05,0.039764108485694304,1.93361550695965e-05,0.0193361550695965,0.004538553441170376,0.003923391608157094,133.33333333333334,266.6666666666667,400.0,0.15832946392955277,0.794248787933777,0.0474217481366702,6.184843628308008e-26,3.2355510519074427e-28
